# Generated by testdata/harfbuzz/indiccategories.py. DO NOT EDIT.
#
# The Indic category HarfBuzz's gen-indic-table.py derives for each character
# it gives one other than X, from this repository's UCD: a range, a space,
# the category.
# ucd IndicSyllabicCategory-17.0.0.txt
# generator harfbuzz-14.5.0
002D..002D PLACEHOLDER
0030..0039 PLACEHOLDER
00A0..00A0 PLACEHOLDER
00B2..00B3 SMPst
00D7..00D7 PLACEHOLDER
0900..0903 SM
0904..0914 V
0915..092F C
0930..0930 Ra
0931..0939 C
093A..093B M
093C..093C N
093D..093D Symbol
093E..094C M
094D..094D H
094E..094F M
0951..0952 A
0953..0954 SM
0955..0957 M
0958..095F C
0960..0961 V
0962..0963 M
0966..096F PLACEHOLDER
0972..0977 V
0978..097F C
0980..0980 PLACEHOLDER
0981..0983 SM
0985..098C V
098F..0990 V
0993..0994 V
0995..09A8 C
09AA..09AF C
09B0..09B0 Ra
09B2..09B2 C
09B6..09B9 C
09BC..09BC N
09BD..09BD Symbol
09BE..09C4 M
09C7..09C8 M
09CB..09CC M
09CD..09CD H
09CE..09CE C
09D7..09D7 M
09DC..09DD C
09DF..09DF C
09E0..09E1 V
09E2..09E3 M
09E6..09EF PLACEHOLDER
09F0..09F0 Ra
09F1..09F1 C
09FC..09FC PLACEHOLDER
09FE..09FE SM
0A01..0A03 SM
0A05..0A0A V
0A0F..0A10 V
0A13..0A14 V
0A15..0A28 C
0A2A..0A2F C
0A30..0A30 Ra
0A32..0A33 C
0A35..0A36 C
0A38..0A39 C
0A3C..0A3C N
0A3E..0A3F M
0A40..0A40 MPst
0A41..0A42 M
0A47..0A48 M
0A4B..0A4C M
0A4D..0A4D H
0A51..0A51 M
0A59..0A5C C
0A5E..0A5E C
0A66..0A6F PLACEHOLDER
0A70..0A71 SM
0A72..0A73 C
0A75..0A75 CM
0A81..0A83 SM
0A85..0A8D V
0A8F..0A91 V
0A93..0A94 V
0A95..0AA8 C
0AAA..0AAF C
0AB0..0AB0 Ra
0AB2..0AB3 C
0AB5..0AB9 C
0ABC..0ABC N
0ABD..0ABD Symbol
0ABE..0AC5 M
0AC7..0AC9 M
0ACB..0ACC M
0ACD..0ACD H
0AE0..0AE1 V
0AE2..0AE3 M
0AE6..0AEF PLACEHOLDER
0AF9..0AF9 C
0AFA..0AFA A
0AFB..0AFB N
0AFC..0AFC A
0AFD..0AFF N
0B01..0B03 SM
0B05..0B0C V
0B0F..0B10 V
0B13..0B14 V
0B15..0B28 C
0B2A..0B2F C
0B30..0B30 Ra
0B32..0B33 C
0B35..0B39 C
0B3C..0B3C N
0B3D..0B3D Symbol
0B3E..0B44 M
0B47..0B48 M
0B4B..0B4C M
0B4D..0B4D H
0B55..0B55 N
0B56..0B57 M
0B5C..0B5D C
0B5F..0B5F C
0B60..0B61 V
0B62..0B63 M
0B66..0B6F PLACEHOLDER
0B71..0B71 C
0B82..0B82 SM
0B85..0B8A V
0B8E..0B90 V
0B92..0B94 V
0B95..0B95 C
0B99..0B9A C
0B9C..0B9C C
0B9E..0B9F C
0BA3..0BA4 C
0BA8..0BAA C
0BAE..0BAF C
0BB0..0BB0 Ra
0BB1..0BB9 C
0BBE..0BC2 M
0BC6..0BC8 M
0BCA..0BCC M
0BCD..0BCD H
0BD7..0BD7 M
0BE6..0BEF PLACEHOLDER
0C00..0C04 SM
0C05..0C0C V
0C0E..0C10 V
0C12..0C14 V
0C15..0C28 C
0C2A..0C2F C
0C30..0C30 Ra
0C31..0C39 C
0C3C..0C3C N
0C3D..0C3D Symbol
0C3E..0C44 M
0C46..0C48 M
0C4A..0C4C M
0C4D..0C4D H
0C55..0C56 M
0C58..0C5A C
0C5D..0C5D C
0C60..0C61 V
0C62..0C63 M
0C66..0C6F PLACEHOLDER
0C80..0C80 PLACEHOLDER
0C81..0C83 SM
