# Generated by testdata/harfbuzz/shape.py. DO NOT EDIT.
#
# What HarfBuzz produces for each line of corpus.txt, in order: the
# glyph index and advance of each glyph, and its offset where that is
# not zero. Advances and offsets are in font units.
# font-sha256 0bcb88de05a855aec38471d6317e860fa2a40d1c3ca93f2736b7c34ad9288d90
# harfbuzz 14.5.0
# uharfbuzz 0.56.2
# language und-x-hbscdflt
# cases 1110
19,977
19,977 78,413
19,977 79,439
19,977 80,0,-65,10
19,977 84,0,-14,10
19,977 88,0
19,977 90,0
19,977 92,677
19,977 93,677
19,977 94,0,-62,10
19,977 98,0
19,977 100,376
19,1099 109,238
19,977 112,391
20,977
20,977 78,413
20,977 79,439
20,977 80,0,-65,10
20,977 84,0,-14,10
20,977 88,0
20,977 90,0
20,977 92,677
20,977 93,677
20,977 94,0,-62,10
20,977 98,0
20,977 100,376
20,1245 109,238
20,977 112,391
21,781
21,781 78,413
21,781 79,439
21,781 80,0,45,10
21,781 84,0,96,10
21,781 88,0
21,781 90,0
21,781 92,677
21,781 93,677
21,781 94,0,48,10
21,781 98,0
21,781 100,376
21,781 109,238
21,781 112,391
22,781
22,781 78,413
22,781 79,439
22,781 80,0
22,781 84,0
22,781 88,0
22,781 90,0
22,781 92,677
22,781 93,677
22,781 94,0
22,781 98,0
22,781 100,376
22,781 109,238
22,781 112,391
23,967
23,967 78,413
23,967 79,439
23,967 80,0,-42,10
23,967 84,0,9,10
23,967 88,0
23,967 90,0
23,967 92,677
23,967 93,677
23,967 94,0,-39,10
23,967 98,0
23,967 100,376
23,967 109,238
23,967 112,391
24,1221
24,1221 78,413
24,1221 79,439
24,1221 80,0,-42,10
24,1221 84,0,9,10
24,1221 88,0,-1,0
24,1221 90,0,-1,0
24,1221 92,677
24,1221 93,677
24,1221 94,0,-39,10
24,1221 98,0,-1,0
24,1221 100,376
24,1221 109,238
24,1221 112,391
25,1221
25,1221 78,413
25,1221 79,439
25,1221 80,0,-42,10
25,1221 84,0,9,10
25,1221 88,0,-1,0
25,1221 90,0,-1,0
25,1221 92,677
25,1221 93,677
25,1221 94,0,-39,10
25,1221 98,0,-1,0
25,1221 100,376
25,1221 109,238
25,1221 112,391
26,1289
26,1289 78,413
26,1289 79,439
26,1289 80,0,-100,10
26,1289 84,0,-49,10
26,1289 88,0,-300,0
26,1289 90,0,-300,0
26,1289 92,677
26,1289 93,677
26,1289 94,0,-97,10
26,1289 98,0,-300,0
26,1289 100,376
26,1289 109,238
26,1289 112,391
27,938
27,938 78,413
27,938 79,439
27,938 80,0,9,10
27,938 84,0,60,10
27,938 88,0
27,938 90,0
27,938 92,677
27,938 93,677
27,938 94,0,12,10
27,938 98,0
27,938 100,376
27,938 109,238
27,938 112,391
28,1258
28,1258 78,413
28,1258 79,439
28,1258 80,0,5,10
28,1258 84,0,56,10
28,1258 88,0,-1,0
28,1258 90,0,-1,0
28,1258 92,677
28,1258 93,677
28,1258 94,0,8,10
28,1258 98,0,-1,0
28,1258 100,376
28,1258 109,238
28,1258 112,391
29,976
29,976 78,413
29,976 79,439
29,976 80,0,-66,10
29,976 84,0,-15,10
29,976 88,0
29,976 90,0
29,976 92,677
29,976 93,677
29,976 94,0,-63,10
29,976 98,0
29,976 100,376
29,976 109,238
29,976 112,391
30,1043
30,1043 78,413
30,1043 79,439
30,1043 80,0,-1,10
30,1043 84,0,50,10
30,1043 88,0
30,1043 90,0
30,1043 92,677
30,1043 93,677
30,1043 94,0,2,10
30,1043 98,0
30,1043 100,376
30,1043 109,238
30,1043 112,391
31,1479
31,1479 78,413
31,1479 79,439
31,1479 80,0,-161,10
31,1479 84,0,-110,10
31,1479 88,0,-303,0
31,1479 90,0,-303,0
31,1479 92,677
31,1479 93,677
31,1479 94,0,-158,10
31,1479 98,0,-303,0
31,1479 100,376
31,1479 109,238
31,1479 112,391
32,991
32,991 78,413
32,991 79,439
32,991 80,0,-24,10
32,991 84,0,27,10
32,991 88,0,-4,0
32,991 90,0,-4,0
32,991 92,677
32,991 93,677
32,991 94,0,-21,10
32,991 98,0,-4,0
32,991 100,376
32,991 109,238
32,991 112,391
33,991
33,991 78,413
33,991 79,439
33,991 80,0,-24,10
33,991 84,0,27,10
33,991 88,0,-4,0
33,991 90,0,-4,0
33,991 92,677
33,991 93,677
33,991 94,0,-21,10
33,991 98,0,-4,0
33,991 100,376
33,991 109,238
33,991 112,391
34,1159
34,1159 78,413
34,1159 79,439
34,1159 80,0,-263,10
34,1159 84,0,-212,10
34,1159 88,0
34,1159 90,0
34,1159 92,677
34,1159 93,677
34,1159 94,0,-260,10
34,1159 98,0
34,1159 100,376
34,1159 109,238
34,1159 112,391
37,1439
37,1439 78,413
37,1439 79,439
37,1439 80,0,-102,10
37,1439 84,0,-51,10
37,1439 88,0,-1,0
37,1439 90,0,-1,0
37,1439 92,677
37,1439 93,677
37,1439 94,0,-99,10
37,1439 98,0,-1,0
37,1439 100,376
37,1439 109,238
37,1439 112,391
38,976
