# Generated by testdata/harfbuzz/scripttags.py. DO NOT EDIT.
#
# The OpenType script tags HarfBuzz's hb_ot_tags_from_script_and_language
# gives a run of each script below in each BCP 47 tag, at most 3, in
# order: the tag, then a tab and the tags separated by '|' for each script.
# A tag that is not printable is written as 0x and eight hex digits.
# harfbuzz 14.5.0
# uharfbuzz 0.56.2
# scripts Latn Deva
# cases 1860
	latn	dev3|dev2|deva
64657632	latn	dev3|dev2|deva
64657632-64657632	latn	dev3|dev2|deva
64657632-64657632-64657632-hant-x	latn	dev3|dev2|deva
64657632-64657632-a	latn	dev3|dev2|deva
64657632-64657632-en-hi	latn	dev3|dev2|deva
64657632-64657632-hbsc-hbot	latn	dev3|dev2|deva
64657632-64657632-hbscab	latn	dev3|dev2|deva
64657632-64657632-hbsclatn-zh-hbot-hbsc	latn	dev3|dev2|deva
64657632-a	latn	dev3|dev2|deva
64657632-a-hbscDFLT	latn	dev3|dev2|deva
64657632-a-hi-hbot	latn	dev3|dev2|deva
64657632-en	latn	dev3|dev2|deva
64657632-en-hbot-hant	latn	dev3|dev2|deva
64657632-en-hbscDFLT-und	latn	dev3|dev2|deva
64657632-en-hbsclatn-a-hbotmar	latn	dev3|dev2|deva
64657632-en-hbsclatn-zh-64657632-64657632	latn	dev3|dev2|deva
64657632-en-latn-hbot-hbscDFLT-u	latn	dev3|dev2|deva
64657632-en-zh-en	latn	dev3|dev2|deva
64657632-hant	latn	dev3|dev2|deva
64657632-hant-a	latn	dev3|dev2|deva
64657632-hant-hant-64657632-hbotmar	latn	dev3|dev2|deva
64657632-hant-hbscdev2-zh-hbscDFLT	latn	dev3|dev2|deva
64657632-hant-latn-hbot-a-hbotmar	latn	dev3|dev2|deva
64657632-hbot-hbot	latn	dev3|dev2|deva
64657632-hbot-hbscab	latn	dev3|dev2|deva
64657632-hbot-hbscdev2-en-a	latn	dev3|dev2|deva
64657632-hbot-hbsclatn	latn	dev3|dev2|deva
64657632-hbotmar	latn	dev3|dev2|deva
64657632-hbotmar-en-a	latn	dev3|dev2|deva
64657632-hbotmar-hbot-hbscdev2-x-hant	latn	dev3|dev2|deva
64657632-hbotmar-hbotmar-hbscdev2-zh	latn	dev3|dev2|deva
64657632-hbotmar-hbscdev2-hbscab	latn	dev3|dev2|deva
64657632-hbotmar-hbsclatn-en	latn	dev3|dev2|deva
64657632-hbotmar-hi	latn	dev3|dev2|deva
64657632-hbotmar-u-64657632	latn	dev3|dev2|deva
64657632-hbotmar-x-zh-hbsc-en	latn	dev3|dev2|deva
64657632-hbsc-hbscab-hi-hbscdev2	latn	dev3|dev2|deva
64657632-hbsc-hi-hbsc-hbscdev2	latn	dev3|dev2|deva
64657632-hbsc-u-hant-hant-hant	latn	dev3|dev2|deva
64657632-hbsc-und	latn	dev3|dev2|deva
64657632-hbscDFLT-hbscab-hant-hi	latn	dev3|dev2|deva
64657632-hbscDFLT-hbscab-hi-64657632-x	latn	dev3|dev2|deva
64657632-hbscDFLT-und-en-64657632	latn	dev3|dev2|deva
64657632-hbscDFLT-und-latn-hi	latn	dev3|dev2|deva
64657632-hbscDFLT-zh-hbscab	latn	dev3|dev2|deva
64657632-hbscab	latn	dev3|dev2|deva
64657632-hbscab-hbot-hbsc	latn	dev3|dev2|deva
64657632-hbscab-hbotmar-zh-a	latn	dev3|dev2|deva
64657632-hbscab-hbscDFLT-hi-a-hi	latn	dev3|dev2|deva
64657632-hbscab-hbscDFLT-zh	latn	dev3|dev2|deva
64657632-hbscab-hi	latn	dev3|dev2|deva
64657632-hbscab-u-x	latn	dev3|dev2|deva
64657632-hbscab-und-hbscDFLT	latn	dev3|dev2|deva
64657632-hbscab-und-u	latn	dev3|dev2|deva
64657632-hbscab-x-hbsc-zh	latn	dev3|dev2|deva
64657632-hbscdev2-hant-x-hbotmar	latn	dev3|dev2|deva
64657632-hbscdev2-hi-64657632	latn	dev3|dev2|deva
64657632-hbsclatn	latn	dev3|dev2|deva
64657632-hbsclatn-64657632	latn	dev3|dev2|deva
64657632-hbsclatn-a	latn	dev3|dev2|deva
64657632-hbsclatn-en	latn	dev3|dev2|deva
64657632-hbsclatn-hant-x	latn	dev3|dev2|deva
64657632-hbsclatn-hbscdev2-hbscdev2-hbsc-hbscDFLT	latn	dev3|dev2|deva
64657632-hbsclatn-x-x	latn	dev3|dev2|deva
64657632-hi	latn	dev3|dev2|deva
64657632-hi-zh	latn	dev3|dev2|deva
64657632-latn	latn	dev3|dev2|deva
64657632-latn-64657632-hbotmar	latn	dev3|dev2|deva
64657632-latn-hant	latn	dev3|dev2|deva
64657632-latn-hbot-64657632	latn	dev3|dev2|deva
64657632-latn-x	latn	dev3|dev2|deva
64657632-latn-x-hant-und	latn	dev3|dev2|deva
64657632-latn-zh-hbot	latn	dev3|dev2|deva
64657632-latn-zh-x-hbscdev2	dev2	dev2
64657632-u-en-hbotmar	latn	dev3|dev2|deva
64657632-u-hbot-hbotmar-hi-hbsc	latn	dev3|dev2|deva
64657632-u-x-hant	latn	dev3|dev2|deva
64657632-und	latn	dev3|dev2|deva
64657632-und-en-hbscab	latn	dev3|dev2|deva
64657632-und-hant-und-x	latn	dev3|dev2|deva
64657632-und-hbsc	latn	dev3|dev2|deva
64657632-x-hbot	latn	dev3|dev2|deva
64657632-x-hbot-hi-zh-x	latn	dev3|dev2|deva
64657632-x-hbscab-hi-u	ab  	ab  
64657632-x-hbsclatn-hbot-hbotmar-hbotmar	latn	latn
64657632-x-zh-a-zh	latn	dev3|dev2|deva
64657632-zh-64657632	latn	dev3|dev2|deva
64657632-zh-a-x-hbotmar-en	latn	dev3|dev2|deva
64657632-zh-hbscDFLT-hbsc	latn	dev3|dev2|deva
64657632-zh-hbscdev2-x	latn	dev3|dev2|deva
64657632-zh-x-hbsc	latn	dev3|dev2|deva
64657632-zh-zh-x-hbsclatn-hbsc	latn	latn
EN_x	latn	dev3|dev2|deva
EN_x-ahbscdev2	latn	dev3|dev2|deva
EN_x-foo-hbsclatn	latn	latn
EN_x-foohbscdev2	latn	dev3|dev2|deva
EN_x-hbot	latn	dev3|dev2|deva
EN_x-hbot-hbscabc	abc 	abc 
EN_x-hbotmar-hbscdev2	dev2	dev2
EN_x-hbsc	latn	dev3|dev2|deva
EN_x-hbsc-	latn	dev3|dev2|deva
EN_x-hbsc-00000000	0x00000000	0x00000000
EN_x-hbsc-44464c54	dflt	dflt
EN_x-hbsc-6465763	latn	dev3|dev2|deva
EN_x-hbsc-64657632	dev2	dev2
EN_x-hbsc-646576320	dev2	dev2
EN_x-hbsc-7c7c7c7c	0x7c7c7c7c	0x7c7c7c7c
