# Generated by testdata/harfbuzz/usecategories.py. DO NOT EDIT.
#
# The USE category HarfBuzz's gen-use-table.py derives for each character
# it gives one other than O, from this repository's UCD and ms-use files:
# a range, a space, the category with its position.
# ucd IndicSyllabicCategory-17.0.0.txt
# generator harfbuzz-14.5.0
002D..002D GB
0030..0039 B
005B..005B SB
005D..005D SE
007B..007B SB
007D..007D SE
00A0..00A0 GB
00AD..00AD WJ
00B2..00B3 FMPst
00D7..00D7 GB
034F..034F CGJ
0640..0640 B
07CA..07EA B
07EB..07F3 VMAbv
07FA..07FA B
07FD..07FD VMAbv
0840..0858 B
0859..085B CMBlw
0900..0902 VMAbv
0903..0903 VMPst
0904..0939 B
093A..093A VAbv
093B..093B VPst
093C..093C CMBlw
093D..093D B
093E..093E VPst
093F..093F VPre
0940..0940 VPst
0941..0944 VBlw
0945..0948 VAbv
0949..094C VPst
094D..094D H
094E..094E VPre
094F..094F VPst
0951..0951 VMAbv
0952..0952 VMBlw
0955..0955 VAbv
0956..0957 VBlw
0958..0961 B
0962..0963 VBlw
0966..096F B
0972..097F B
0980..0980 GB
0981..0981 VMAbv
0982..0983 VMPst
0985..098C B
098F..0990 B
0993..09A8 B
09AA..09B0 B
09B2..09B2 B
09B6..09B9 B
09BC..09BC CMBlw
09BD..09BD B
09BE..09BE VPst
09BF..09BF VPre
09C0..09C0 VPst
09C1..09C4 VBlw
09C7..09C8 VPre
09CB..09CC VPre
09CD..09CD H
09D7..09D7 VPst
09DC..09DD B
09DF..09E1 B
09E2..09E3 VBlw
09E6..09F1 B
09FC..09FC B
09FE..09FE FMAbv
0A01..0A02 VMAbv
0A03..0A03 VMPst
0A05..0A0A B
0A0F..0A10 B
0A13..0A28 B
0A2A..0A30 B
0A32..0A33 B
0A35..0A36 B
0A38..0A39 B
0A3C..0A3C CMBlw
0A3E..0A3E VPst
0A3F..0A3F VPre
0A40..0A40 VPst
0A41..0A42 VBlw
0A47..0A48 VAbv
0A4B..0A4C VAbv
0A4D..0A4D H
0A51..0A51 VMBlw
0A59..0A5C B
0A5E..0A5E B
0A66..0A6F B
0A70..0A70 VMAbv
0A71..0A71 CMAbv
0A72..0A73 GB
0A75..0A75 MBlw
0A81..0A82 VMAbv
0A83..0A83 VMPst
0A85..0A8D B
0A8F..0A91 B
0A93..0AA8 B
0AAA..0AB0 B
0AB2..0AB3 B
0AB5..0AB9 B
0ABC..0ABC CMBlw
0ABD..0ABD B
0ABE..0ABE VPst
0ABF..0ABF VPre
0AC0..0AC0 VPst
0AC1..0AC4 VBlw
0AC5..0AC5 VAbv
0AC7..0AC9 VAbv
0ACB..0ACC VPst
0ACD..0ACD H
0AE0..0AE1 B
0AE2..0AE3 VBlw
0AE6..0AEF B
0AF9..0AF9 B
0AFA..0AFA VMAbv
0AFB..0AFB CMAbv
0AFC..0AFC VMAbv
0AFD..0AFF CMAbv
0B01..0B01 VMAbv
0B02..0B03 VMPst
0B05..0B0C B
0B0F..0B10 B
0B13..0B28 B
0B2A..0B30 B
0B32..0B33 B
0B35..0B39 B
0B3C..0B3C CMBlw
0B3D..0B3D B
0B3E..0B3E VPst
0B3F..0B3F VAbv
0B40..0B40 VPst
0B41..0B44 VBlw
0B47..0B48 VPre
0B4B..0B4C VPre
0B4D..0B4D H
0B55..0B57 VAbv
0B5C..0B5D B
0B5F..0B61 B
0B62..0B63 VBlw
0B66..0B6F B
0B71..0B71 B
0B82..0B82 VMAbv
0B85..0B8A B
0B8E..0B90 B
0B92..0B95 B
0B99..0B9A B
0B9C..0B9C B
0B9E..0B9F B
0BA3..0BA4 B
0BA8..0BAA B
0BAE..0BB9 B
0BBE..0BBF VPst
0BC0..0BC0 VAbv
0BC1..0BC2 VPst
0BC6..0BC8 VPre
0BCA..0BCC VPre
0BCD..0BCD H
0BD7..0BD7 VPst
0BE6..0BEF B
0C00..0C00 VMAbv
0C01..0C03 VMPst
0C04..0C04 VMAbv
0C05..0C0C B
0C0E..0C10 B
0C12..0C28 B
0C2A..0C39 B
0C3C..0C3C CMBlw
0C3D..0C3D B
0C3E..0C40 VAbv
0C41..0C44 VPst
0C46..0C48 VAbv
0C4A..0C4C VAbv
0C4D..0C4D H
0C55..0C55 VAbv
0C56..0C56 VBlw
0C58..0C5A B
0C60..0C61 B
0C62..0C63 VBlw
0C66..0C6F B
0C80..0C80 B
0C81..0C81 VMAbv
0C82..0C83 VMPst
0C85..0C8C B
0C8E..0C90 B
0C92..0CA8 B
0CAA..0CB3 B
0CB5..0CB9 B
0CBC..0CBC CMBlw
0CBD..0CBD B
0CBE..0CBE VPst
0CBF..0CC0 VAbv
0CC1..0CC4 VPst
0CC6..0CC8 VAbv
0CCA..0CCC VAbv
0CCD..0CCD H
0CD5..0CD6 VPst
0CDE..0CDE B
0CE0..0CE1 B
0CE2..0CE3 VBlw
0CE6..0CEF B
0CF1..0CF2 CS
0CF3..0CF3 VMPst
0D00..0D01 VMAbv
0D02..0D03 VMPst
0D04..0D0C B
0D0E..0D10 B
0D12..0D3A B
